msn_code,msn_desc,source_code,source_desc,sector_code,sector_desc,units
NGTXD,"natural gas average price, all end-use sectors",NG,natural gas,TX,all end-use sectors,dollars per million btu
OPTXD,"other petroleum products average price, all end-use sectors",OP,other petroleum products,TX,all end-use sectors,dollars per million btu
PCTXD,"petroleum coke average price, all end-use sectors",PC,petroleum coke,TX,all end-use sectors,dollars per million btu
PETXD,"primary energy average price, all end-use sectors",PE,primary energy,TX,all end-use sectors,dollars per million btu
PQTXD,"propane average price, all end-use sectors",PQ,propane,TX,all end-use sectors,dollars per million btu
RFTXD,"residual fuel oil average price, all end-use sectors",RF,residual fuel oil,TX,all end-use sectors,dollars per million btu
TETXD,total end-use energy average price,TE,total energy,TX,all end-use sectors,dollars per million btu
WWTXD,"wood and waste average price, all end-use sectors",WW,wood and waste,TX,all end-use sectors,dollars per million btu
CLKCD,coal price at coke plants,CL,coal,KC,coke plants (coking coal),dollars per million btu
PACCD,all petroleum products average price in the commercial sector,PA,all petroleum products,CC,commercial sector,dollars per million btu
CLCCD,coal price in the commercial sector,CL,coal,CC,commercial sector,dollars per million btu
DFCCD,distillate fuel oil price in the commercial sector,DF,distillate fuel oil,CC,commercial sector,dollars per million btu
ESCCD,electricity price in the commercial sector,ES,electricity,CC,commercial sector,dollars per million btu
HLCCD,hydrocarbon gas liquids price in the commercial sector,HL,hydrocarbon gas liquids,CC,commercial sector,dollars per million btu
KSCCD,kerosene price in the commercial sector,KS,kerosene,CC,commercial sector,dollars per million btu
MGCCD,motor gasoline price in the commercial sector,MG,motor gasoline consumed,CC,commercial sector,dollars per million btu
NGCCD,natural gas price in the commercial sector,NG,natural gas,CC,commercial sector,dollars per million btu
PCCCD,petroleum coke price in the commercial sector,PC,petroleum coke,CC,commercial sector,dollars per million btu
PECCD,primary energy average price in the commercial sector,PE,primary energy,CC,commercial sector,dollars per million btu
PQCCD,propane price in the commercial sector,PQ,propane,CC,commercial sector,dollars per million btu
RFCCD,residual fuel oil price in the commercial sector,RF,residual fuel oil,CC,commercial sector,dollars per million btu
TECCD,total energy average price in the commercial sector,TE,total energy,CC,commercial sector,dollars per million btu
WWCCD,wood and waste price in the commercial sector,WW,wood and waste,CC,commercial sector,dollars per million btu
NUEGD,nuclear fuel price in the electric power sector,NU,nuclear energy,EG,electric power sector,dollars per million btu
PAEID,all petroleum products average price in the electric power sector,PA,all petroleum products,EI,electric power sector,dollars per million btu
CLEID,coal price in the electric power sector,CL,coal,EI,electric power sector,dollars per million btu
DFEID,distillate fuel oil price in the electric power sector,DF,distillate fuel oil,EI,electric power sector,dollars per million btu
NGEID,natural gas price in the electric power sector,NG,natural gas,EI,electric power sector,dollars per million btu
PCEID,petroleum coke price in the electric power sector,PC,petroleum coke,EI,electric power sector,dollars per million btu
PEEID,primary energy average price in the electric power sector,PE,primary energy,EI,electric power sector,dollars per million btu
RFEID,residual fuel oil price in the electric power sector,RF,residual fuel oil,EI,electric power sector,dollars per million btu
WWEID,wood and waste price in the electric power sector,WW,wood and waste,EI,electric power sector,dollars per million btu
CCEXD,"coal coke exports average price, united states",CC,coal coke,EX,exported from the united states,dollars per million btu
ELEXD,electricity exports average price,EL,electricity,EX,exported from the united states,dollars per million btu
CCIMD,"coal coke imports average price, united states",CC,coal coke,IM,imported into the united states,dollars per million btu
ELIMD,electricity imports average price,EL,electricity,IM,imported into the united states,dollars per million btu
PAICD,all petroleum products average price in the industrial sector,PA,all petroleum products,IC,industrial sector,dollars per million btu
ARICD,asphalt and road oil price in the industrial sector,AR,asphalt and road oil,IC,industrial sector,dollars per million btu
P1ICD,"asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" average price in the  industrial sector",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",IC,industrial sector,dollars per million btu
CLICD,coal price in the industrial sector,CL,coal,IC,industrial sector,dollars per million btu
DFICD,distillate fuel oil price in the industrial sector,DF,distillate fuel oil,IC,industrial sector,dollars per million btu
ESICD,electricity price in the industrial sector,ES,electricity,IC,industrial sector,dollars per million btu
HLICD,hydrocarbon gas liquids price in the industrial sector,HL,hydrocarbon gas liquids,IC,industrial sector,dollars per million btu
KSICD,kerosene price in the industrial sector,KS,kerosene,IC,industrial sector,dollars per million btu
LUICD,lubricants price in the industrial sector,LU,lubricants,IC,industrial sector,dollars per million btu
MSICD,miscellaneous petroleum products price in the industrial sector,MS,miscellaneous petroleum products,IC,industrial sector,dollars per million btu
MGICD,motor gasoline price in the industrial sector,MG,motor gasoline consumed,IC,industrial sector,dollars per million btu
NGICD,natural gas price in the industrial sector,NG,natural gas,IC,industrial sector,dollars per million btu
OHICD,other hydrocarbon gas liquids (other than propane) price in the industrial sector,OH,other hydrocarbon gas liquids (other than propane),IC,industrial sector,dollars per million btu
OPICD,other petroleum products average price in the industrial sector,OP,other petroleum products,IC,industrial sector,dollars per million btu
FNICD,"petrochemical feedstocks, naphtha less than 401° f, price in the industrial sector",FN,"petrochemical feedstocks, naphtha, less than 401 f",IC,industrial sector,dollars per million btu
FOICD,"petrochemical feedstocks, other oils equal to or greater than 401° f, price in the industrial sector",FO,"petrochemical feedstocks, other oils equal to or greater than 401 f",IC,industrial sector,dollars per million btu
FSICD,"petrochemical feedstocks, still gas, price in the industrial sector",FS,"petrochemical feedstocks, still gas",IC,industrial sector,dollars per million btu
PCICD,petroleum coke price in the industrial sector,PC,petroleum coke,IC,industrial sector,dollars per million btu
PEICD,primary energy average price in the industrial sector,PE,primary energy,IC,industrial sector,dollars per million btu
PQICD,propane price in the industrial sector,PQ,propane,IC,industrial sector,dollars per million btu
RFICD,residual fuel oil price in the industrial sector,RF,residual fuel oil,IC,industrial sector,dollars per million btu
SNICD,special naphthas price in the industrial sector,SN,special naphthas,IC,industrial sector,dollars per million btu
TEICD,total energy average price in the industrial sector,TE,total energy,IC,industrial sector,dollars per million btu
WXICD,waxes price in the industrial sector,WX,waxes,IC,industrial sector,dollars per million btu
WWICD,wood and waste price in the industrial sector,WW,wood and waste,IC,industrial sector,dollars per million btu
CLOCD,coal price in the industrial sector other than coke plants,CL,coal,OC,industrial users other than coke plants,dollars per million btu
NUETD,"nuclear fuel average price, all sectors",NU,nuclear energy,ET,miscellaneous,dollars per million btu
PARCD,all petroleum products average price in the residential sector,PA,all petroleum products,RC,residential sector,dollars per million btu
CLRCD,coal price in the residential sector,CL,coal,RC,residential sector,dollars per million btu
DFRCD,distillate fuel oil price in the residential sector,DF,distillate fuel oil,RC,residential sector,dollars per million btu
ESRCD,electricity price in the residential sector,ES,electricity,RC,residential sector,dollars per million btu
HLRCD,hydrocarbon gas liquids price in the residential sector,HL,hydrocarbon gas liquids,RC,residential sector,dollars per million btu
KSRCD,kerosene price in the residential sector,KS,kerosene,RC,residential sector,dollars per million btu
NGRCD,natural gas price in the residential sector,NG,natural gas,RC,residential sector,dollars per million btu
PERCD,primary energy average price in the residential sector,PE,primary energy,RC,residential sector,dollars per million btu
PQRCD,propane price in the residential sector,PQ,propane,RC,residential sector,dollars per million btu
TERCD,total energy average price in the residential sector,TE,total energy,RC,residential sector,dollars per million btu
WDRCD,wood price in the residential sector,WD,wood,RC,residential sector,dollars per million btu
PATCD,"all petroleum products average price, all sectors",PA,all petroleum products,TC,total consumption,dollars per million btu
ARTCD,"asphalt and road oil average price, all sectors",AR,asphalt and road oil,TC,total consumption,dollars per million btu
P1TCD,"asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" average price, all sectors",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",TC,total consumption,dollars per million btu
AVTCD,"aviation gasoline average price, all sectors",AV,aviation gasoline,TC,total consumption,dollars per million btu
CLTCD,"coal average price, all sectors",CL,coal,TC,total consumption,dollars per million btu
DFTCD,"distillate fuel oil average price, all sectors",DF,distillate fuel oil,TC,total consumption,dollars per million btu
ESTCD,"electricity average price, all sectors",ES,electricity,TC,total consumption,dollars per million btu
HLTCD,"hydrocarbon gas liquids average price, all sectors",HL,hydrocarbon gas liquids,TC,total consumption,dollars per million btu
JFTCD,"jet fuel average price, all sectors",JF,jet fuel,TC,total consumption,dollars per million btu
KSTCD,"kerosene average price, all sectors",KS,kerosene,TC,total consumption,dollars per million btu
LUTCD,"lubricants average price, all sectors",LU,lubricants,TC,total consumption,dollars per million btu
MGTCD,"motor gasoline average price, all sectors",MG,motor gasoline consumed,TC,total consumption,dollars per million btu
NGTCD,"natural gas average price, all sectors",NG,natural gas,TC,total consumption,dollars per million btu
OPTCD,"other petroleum products average price, all sectors",OP,other petroleum products,TC,total consumption,dollars per million btu
PCTCD,"petroleum coke average price, all sectors",PC,petroleum coke,TC,total consumption,dollars per million btu
PETCD,"primary energy average price, all sectors",PE,primary energy,TC,total consumption,dollars per million btu
PQTCD,"propane average price, all sectors",PQ,propane,TC,total consumption,dollars per million btu
RFTCD,"residual fuel oil average price, all sectors",RF,residual fuel oil,TC,total consumption,dollars per million btu
TETCD,total energy average price,TE,total energy,TC,total consumption,dollars per million btu
WWTCD,"wood and waste average price, all sectors",WW,wood and waste,TC,total consumption,dollars per million btu
PAACD,all petroleum products average price in the transportation sector,PA,all petroleum products,AC,transportation sector,dollars per million btu
AVACD,aviation gasoline price in the transportation sector,AV,aviation gasoline,AC,transportation sector,dollars per million btu
CLACD,coal price in the transportation sector,CL,coal,AC,transportation sector,dollars per million btu
DFACD,distillate fuel oil price in the transportation sector,DF,distillate fuel oil,AC,transportation sector,dollars per million btu
ESACD,electricity price in the transportation sector,ES,electricity,AC,transportation sector,dollars per million btu
HLACD,hydrocarbon gas liquids price in the transportation sector,HL,hydrocarbon gas liquids,AC,transportation sector,dollars per million btu
JFACD,jet fuel price in the transportation sector,JF,jet fuel,AC,transportation sector,dollars per million btu
LUACD,lubricants price in the transportation sector,LU,lubricants,AC,transportation sector,dollars per million btu
MGACD,motor gasoline price in the transportation sector,MG,motor gasoline consumed,AC,transportation sector,dollars per million btu
NGACD,natural gas price in the transportation sector,NG,natural gas,AC,transportation sector,dollars per million btu
PEACD,primary energy average price in the transportation sector,PE,primary energy,AC,transportation sector,dollars per million btu
PQACD,propane price in the transportation sector,PQ,propane,AC,transportation sector,dollars per million btu
RFACD,residual fuel oil price in the transportation sector,RF,residual fuel oil,AC,transportation sector,dollars per million btu
TEACD,total energy average price in the transportation sector,TE,total energy,AC,transportation sector,dollars per million btu
TECPB,total energy consumption per capita in the commercial sector,TE,total energy,CP,commercial sector (per capita),million btu
TEIPB,total energy consumption per capita in the industrial sector,TE,total energy,IP,industrial sector (per capita),million btu
TERPB,total energy consumption per capita in the residential sector,TE,total energy,RP,per capita in the residential sector,million btu
TETPB,total energy consumption per capita,TE,total energy,TP,total per capita,million btu
TEAPB,total energy consumption per capita in the transportation sector,TE,total energy,AP,transportation sector (per capita),million btu
PACCK,"factor for converting all petroleum products consumed by the commercial sector from physical units to btu, united states only",PA,all petroleum products,CC,commercial sector,million btu per barrel
PAEIK,"factor for converting all petroleum products consumed by the electric power sector from physical units to btu, united states only",PA,all petroleum products,EI,electric power sector,million btu per barrel
PCCTK,"factor converting petroleum coke, catalyst coke physical units to btu, united states only",PC,petroleum coke,CT,"factor converting petroleum coke, catalyst coke physical units to btu",million btu per barrel
PAICK,"factor for converting all petroleum products consumed by the industrial sector from physical units to btu, united states only",PA,all petroleum products,IC,industrial sector,million btu per barrel
HLICK,average conversion factor for industrial consumption of hydrocarbon gas liquids,HL,hydrocarbon gas liquids,IC,industrial sector,million btu per barrel
PCMKK,"factor converting petroleum coke, marketable coke physical units to btu, united states only",PC,petroleum coke,MK,marketable coke physical units to btu,million btu per barrel
COPRK,factor for converting crude oil production from physical units to btu,CO,crude oil,PR,production,million btu per barrel
PARCK,"factor for converting all petroleum products consumed by the residential sector from physical units to btu, united states only",PA,all petroleum products,RC,residential sector,million btu per barrel
PATCK,"factor for converting all petroleum products total consumption from physical units to btu, united states only",PA,all petroleum products,TC,total consumption,million btu per barrel
DFTCK,"factor converting distillate fuel oil physical units to btu, united states only",DF,distillate fuel oil,TC,total consumption,million btu per barrel
ENTCK,factor for converting fuel ethanol consumption from physical units to btu,EN,"fuel ethanol, including denaturant",TC,total consumption,million btu per barrel
HLTCK,factor for converting hydrocarbon gas liquids physical units to btu,HL,hydrocarbon gas liquids,TC,total consumption,million btu per barrel
MBTCK,"factor converting motor gasoline blending components physical units to btu, united states only",MB,motor gasoline blending components,TC,total consumption,million btu per barrel
MGTCK,"factor converting motor gasoline physical units to btu, united states only",MG,motor gasoline consumed,TC,total consumption,million btu per barrel
PAACK,"factor for converting all petroleum products consumed by the transportation sector from physical units to btu, united states only",PA,all petroleum products,AC,transportation sector,million btu per barrel
CLKCK,factor for converting coal consumed at coke plants from physical units to btu,CL,coal,KC,coke plants (coking coal),million btu per short ton
CLEIK,factor for converting coal consumed by the electric power sector from physical units to btu,CL,coal,EI,electric power sector,million btu per short ton
CLHCK,factor for converting coal consumed by the residential and commercial sectors from physical units to btu,CL,coal,HC,factor for converting coal consumed by the residential and commercial sectors physical units to btu,million btu per short ton
CLOCK,factor for converting coal consumed by industrial users other than coke plants from physical units to btu,CL,coal,OC,industrial users other than coke plants,million btu per short ton
CLPRK,factor for converting coal production from physical units to btu,CL,coal,PR,production,million btu per short ton
CLACK,factor for converting coal consumed by the transportation sector from physical units to btu,CL,coal,AC,transportation sector,million btu per short ton
GDPRX,real gross domestic product,GD,current-dollar gross domestic product,PR,production,million chained (2009) dollars
NGTXP,natural gas total end-use consumption,NG,natural gas,TX,all end-use sectors,million cubic feet
NGCCP,natural gas consumed by (delivered to) the commercial sector,NG,natural gas,CC,commercial sector,million cubic feet
NGEIP,natural gas consumed by the electric power sector,NG,natural gas,EI,electric power sector,million cubic feet
NGICP,natural gas consumed by (delivered to) the industrial sector,NG,natural gas,IC,industrial sector,million cubic feet
NGMPP,natural gas marketed production,NG,natural gas,MP,natural gas marketed production,million cubic feet
NGRCP,natural gas consumed by (delivered to) the residential sector,NG,natural gas,RC,residential sector,million cubic feet
NGTCP,natural gas total consumption,NG,natural gas,TC,total consumption,million cubic feet
NGACP,natural gas consumed by the transportation sector,NG,natural gas,AC,transportation sector,million cubic feet
PATXV,all petroleum products total end-use expenditures,PA,all petroleum products,TX,all end-use sectors,million dollars
ARTXV,asphalt and road oil total end-use expenditures,AR,asphalt and road oil,TX,all end-use sectors,million dollars
P1TXV,"asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total end-use expenditures",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",TX,all end-use sectors,million dollars
AVTXV,aviation gasoline total end-use expenditures,AV,aviation gasoline,TX,all end-use sectors,million dollars
CLTXV,coal total end-use expenditures,CL,coal,TX,all end-use sectors,million dollars
DFTXV,distillate fuel oil total end-use expenditures,DF,distillate fuel oil,TX,all end-use sectors,million dollars
ESTXV,electricity total end-use expenditures,ES,electricity,TX,all end-use sectors,million dollars
HLTXV,hydrocarbon gas liquids total end-use expenditures,HL,hydrocarbon gas liquids,TX,all end-use sectors,million dollars
JFTXV,jet fuel total end-use expenditures,JF,jet fuel,TX,all end-use sectors,million dollars
KSTXV,kerosene total end-use expenditures,KS,kerosene,TX,all end-use sectors,million dollars
LUTXV,lubricants total end-use expenditures,LU,lubricants,TX,all end-use sectors,million dollars
MGTXV,motor gasoline total end-use expenditures,MG,motor gasoline consumed,TX,all end-use sectors,million dollars
NGTXV,natural gas total end-use expenditures,NG,natural gas,TX,all end-use sectors,million dollars
OPTXV,other petroleum products total end-use expenditures,OP,other petroleum products,TX,all end-use sectors,million dollars
PCTXV,petroleum coke total end-use expenditures,PC,petroleum coke,TX,all end-use sectors,million dollars
PETXV,primary energy total end-use expenditures,PE,primary energy,TX,all end-use sectors,million dollars
PQTXV,propane total end-use expenditures,PQ,propane,TX,all end-use sectors,million dollars
RFTXV,residual fuel oil total end-use expenditures,RF,residual fuel oil,TX,all end-use sectors,million dollars
TETXV,total end-use energy expenditures,TE,total energy,TX,all end-use sectors,million dollars
WWTXV,wood and waste total end-use expenditures,WW,wood and waste,TX,all end-use sectors,million dollars
CLKCV,coal expenditures at coke plants,CL,coal,KC,coke plants (coking coal),million dollars
PACCV,all petroleum products total expenditures in the commercial sector,PA,all petroleum products,CC,commercial sector,million dollars
CLCCV,coal expenditures in the commercial sector,CL,coal,CC,commercial sector,million dollars
DFCCV,distillate fuel oil expenditures in the commercial sector,DF,distillate fuel oil,CC,commercial sector,million dollars
ESCCV,electricity expenditures in the commercial sector,ES,electricity,CC,commercial sector,million dollars
EMCCV,"fuel ethanol, excluding denaturant, expenditures in the commercial sector (through 1992)",EM,"fuel ethanol, excluding denaturant",CC,commercial sector,million dollars
HLCCV,hydrocarbon gas liquids expenditures in the commercial sector,HL,hydrocarbon gas liquids,CC,commercial sector,million dollars
KSCCV,kerosene expenditures in the commercial sector,KS,kerosene,CC,commercial sector,million dollars
MGCCV,motor gasoline expenditures in the commercial sector,MG,motor gasoline consumed,CC,commercial sector,million dollars
NGCCV,natural gas expenditures in the commercial sector,NG,natural gas,CC,commercial sector,million dollars
PCCCV,petroleum coke expenditures in the commercial sector,PC,petroleum coke,CC,commercial sector,million dollars
PECCV,primary energy total expenditures in the commercial sector,PE,primary energy,CC,commercial sector,million dollars
PQCCV,propane expenditures in the commercial sector,PQ,propane,CC,commercial sector,million dollars
RFCCV,residual fuel oil expenditures in the commercial sector,RF,residual fuel oil,CC,commercial sector,million dollars
TECCV,total energy expenditures in the commercial sector,TE,total energy,CC,commercial sector,million dollars
WWCCV,wood and waste expenditures in the commercial sector,WW,wood and waste,CC,commercial sector,million dollars
NUEGV,nuclear fuel expenditures in the electric power sector,NU,nuclear energy,EG,electric power sector,million dollars
PAEIV,all petroleum products total expenditures in the electric power sector,PA,all petroleum products,EI,electric power sector,million dollars
CLEIV,coal expenditures in the electric power sector,CL,coal,EI,electric power sector,million dollars
DFEIV,distillate fuel oil expenditures in the electric power sector,DF,distillate fuel oil,EI,electric power sector,million dollars
NGEIV,natural gas expenditures in the electric power sector,NG,natural gas,EI,electric power sector,million dollars
PCEIV,petroleum coke expenditures in the electric power sector,PC,petroleum coke,EI,electric power sector,million dollars
PEEIV,primary energy total expenditures in the electric power sector,PE,primary energy,EI,electric power sector,million dollars
RFEIV,residual fuel oil expenditures in the electric power sector,RF,residual fuel oil,EI,electric power sector,million dollars
WWEIV,wood and waste expenditures in the electric power sector,WW,wood and waste,EI,electric power sector,million dollars
CCEXV,"coal coke exports expenditures, united states",CC,coal coke,EX,exported from the united states,million dollars
ELEXV,electricity exports expenditures,EL,electricity,EX,exported from the united states,million dollars
CCIMV,"coal coke imports expenditures, united states",CC,coal coke,IM,imported into the united states,million dollars
ELIMV,electricity imports expenditures,EL,electricity,IM,imported into the united states,million dollars
PAICV,all petroleum products total expenditures in the industrial sector,PA,all petroleum products,IC,industrial sector,million dollars
ARICV,asphalt and road oil expenditures in the industrial sector,AR,asphalt and road oil,IC,industrial sector,million dollars
P1ICV,"asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" expenditures in the  industrial sector",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",IC,industrial sector,million dollars
CLICV,coal expenditures in the industrial sector,CL,coal,IC,industrial sector,million dollars
DFICV,distillate fuel oil expenditures in the industrial sector,DF,distillate fuel oil,IC,industrial sector,million dollars
ESICV,electricity expenditures in the industrial sector,ES,electricity,IC,industrial sector,million dollars
EMICV,"fuel ethanol, excluding denaturant, expenditures in the industrial sector (through 1992)",EM,"fuel ethanol, excluding denaturant",IC,industrial sector,million dollars
HLICV,hydrocarbon gas liquids expenditures in the industrial sector,HL,hydrocarbon gas liquids,IC,industrial sector,million dollars
KSICV,kerosene expenditures in the industrial sector,KS,kerosene,IC,industrial sector,million dollars
LUICV,lubricants expenditures in the industrial sector,LU,lubricants,IC,industrial sector,million dollars
MSICV,miscellaneous petroleum products expenditures in the industrial sector,MS,miscellaneous petroleum products,IC,industrial sector,million dollars
MGICV,motor gasoline expenditures in the industrial sector,MG,motor gasoline consumed,IC,industrial sector,million dollars
NGICV,natural gas expenditures in the industrial sector,NG,natural gas,IC,industrial sector,million dollars
OHICV,other hydrocarbon gas liquids (other than propane) expenditures in the industrial sector,OH,other hydrocarbon gas liquids (other than propane),IC,industrial sector,million dollars
OPICV,other petroleum products total expenditures in the industrial sector,OP,other petroleum products,IC,industrial sector,million dollars
FNICV,"petrochemical feedstocks, naphtha less than 401° f, expenditures in the industrial sector",FN,"petrochemical feedstocks, naphtha, less than 401 f",IC,industrial sector,million dollars
FOICV,"petrochemical feedstocks, other oils equal to or greater than 401° f, expenditures in the industrial sector",FO,"petrochemical feedstocks, other oils equal to or greater than 401 f",IC,industrial sector,million dollars
FSICV,"petrochemical feedstocks, still gas, expenditures in the industrial sector",FS,"petrochemical feedstocks, still gas",IC,industrial sector,million dollars
PCICV,petroleum coke expenditures in the industrial sector,PC,petroleum coke,IC,industrial sector,million dollars
PEICV,primary energy total expenditures in the industrial sector,PE,primary energy,IC,industrial sector,million dollars
PQICV,propane expenditures in the industrial sector,PQ,propane,IC,industrial sector,million dollars
RFICV,residual fuel oil expenditures in the industrial sector,RF,residual fuel oil,IC,industrial sector,million dollars
SNICV,special naphthas expenditures in the industrial sector,SN,special naphthas,IC,industrial sector,million dollars
TEICV,total energy expenditures in the industrial sector,TE,total energy,IC,industrial sector,million dollars
WXICV,waxes expenditures in the industrial sector,WX,waxes,IC,industrial sector,million dollars
WWICV,wood and waste expenditures in the industrial sector,WW,wood and waste,IC,industrial sector,million dollars
CLOCV,coal expenditures in the industrial sector other than coke plants,CL,coal,OC,industrial users other than coke plants,million dollars
NUETV,nuclear fuel total expenditures,NU,nuclear energy,ET,miscellaneous,million dollars
CCNIV,"coal coke net imports expenditures, united states",CC,coal coke,NI,net imports expenditures,million dollars
GDPRV,current-dollar gross domestic product,GD,current-dollar gross domestic product,PR,production,million dollars
PARCV,all petroleum products total expenditures in the residential sector,PA,all petroleum products,RC,residential sector,million dollars
CLRCV,coal expenditures in the residential sector,CL,coal,RC,residential sector,million dollars
DFRCV,distillate fuel oil expenditures in the residential sector,DF,distillate fuel oil,RC,residential sector,million dollars
ESRCV,electricity expenditures in the residential sector,ES,electricity,RC,residential sector,million dollars
HLRCV,hydrocarbon gas liquids expenditures in the residential sector,HL,hydrocarbon gas liquids,RC,residential sector,million dollars
KSRCV,kerosene expenditures in the residential sector,KS,kerosene,RC,residential sector,million dollars
NGRCV,natural gas expenditures in the residential sector,NG,natural gas,RC,residential sector,million dollars
PERCV,primary energy total expenditures in the residential sector,PE,primary energy,RC,residential sector,million dollars
PQRCV,propane expenditures in the residential sector,PQ,propane,RC,residential sector,million dollars
TERCV,total energy total expenditures in the residential sector,TE,total energy,RC,residential sector,million dollars
WDRCV,wood expenditures in the residential sector,WD,wood,RC,residential sector,million dollars
PATCV,all petroleum products total expenditures,PA,all petroleum products,TC,total consumption,million dollars
ARTCV,asphalt and road oil total expenditures,AR,asphalt and road oil,TC,total consumption,million dollars
P1TCV,"asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total expenditures",P1,"asphalt and road oil, kerosene, lubricants, petroleum coke, and other petroleum products",TC,total consumption,million dollars
AVTCV,aviation gasoline total expenditures,AV,aviation gasoline,TC,total consumption,million dollars
CLTCV,coal total expenditures,CL,coal,TC,total consumption,million dollars
DFTCV,distillate fuel oil total expenditures,DF,distillate fuel oil,TC,total consumption,million dollars
ESTCV,electricity total expenditures,ES,electricity,TC,total consumption,million dollars
EMTCV,"fuel ethanol, excluding denaturant, total expenditures (through 1992)",EM,"fuel ethanol, excluding denaturant",TC,total consumption,million dollars
HLTCV,hydrocarbon gas liquids total expenditures,HL,hydrocarbon gas liquids,TC,total consumption,million dollars
JFTCV,jet fuel total expenditures,JF,jet fuel,TC,total consumption,million dollars
KSTCV,kerosene total expenditures,KS,kerosene,TC,total consumption,million dollars
LUTCV,"lubricants average price, all sectors",LU,lubricants,TC,total consumption,million dollars
MGTCV,motor gasoline total expenditures,MG,motor gasoline consumed,TC,total consumption,million dollars
NGTCV,natural gas total expenditures,NG,natural gas,TC,total consumption,million dollars
OPTCV,other petroleum products total expenditures,OP,other petroleum products,TC,total consumption,million dollars
PCTCV,petroleum coke total expenditures,PC,petroleum coke,TC,total consumption,million dollars
PETCV,primary energy total expenditures,PE,primary energy,TC,total consumption,million dollars
PQTCV,propane total expenditures,PQ,propane,TC,total consumption,million dollars
RFTCV,residual fuel oil total expenditures,RF,residual fuel oil,TC,total consumption,million dollars
TETCV,total energy expenditures,TE,total energy,TC,total consumption,million dollars
WWTCV,wood and waste total expenditures,WW,wood and waste,TC,total consumption,million dollars
PAACV,all petroleum products total expenditures in the transportation sector,PA,all petroleum products,AC,transportation sector,million dollars
AVACV,aviation gasoline expenditures in the transportation sector,AV,aviation gasoline,AC,transportation sector,million dollars
CLACV,coal expenditures in the transportation sector,CL,coal,AC,transportation sector,million dollars
DFACV,distillate fuel oil expenditures in the transportation sector,DF,distillate fuel oil,AC,transportation sector,million dollars
ESACV,electricity expenditures in the transportation sector,ES,electricity,AC,transportation sector,million dollars
EMACV,"fuel ethanol, excluding denaturant, expenditures in the transportation sector (through 1992)",EM,"fuel ethanol, excluding denaturant",AC,transportation sector,million dollars
HLACV,hydrocarbon gas liquids expenditures in the transportation sector,HL,hydrocarbon gas liquids,AC,transportation sector,million dollars
JFACV,jet fuel expenditures in the transportation sector,JF,jet fuel,AC,transportation sector,million dollars
LUACV,lubricants expenditures in the transportation sector,LU,lubricants,AC,transportation sector,million dollars
MGACV,motor gasoline expenditures in the transportation sector,MG,motor gasoline consumed,AC,transportation sector,million dollars
NGACV,natural gas expenditures in the transportation sector,NG,natural gas,AC,transportation sector,million dollars
PEACV,primary energy total expenditures in the transportation sector,PE,primary energy,AC,transportation sector,million dollars
PQACV,propane expenditures in the transportation sector,PQ,propane,AC,transportation sector,million dollars
RFACV,residual fuel oil expenditures in the transportation sector,RF,residual fuel oil,AC,transportation sector,million dollars
TEACV,total energy expenditures in the transportation sector,TE,total energy,AC,transportation sector,million dollars
ESTXP,"electricity total end-use consumption (i.e., retail sales)",ES,electricity,TX,all end-use sectors,million kilowatthours
HYTXP,hydroelectricity net generation total end-use sectors,HY,hydropower,TX,all end-use sectors,million kilowatthours
WYTXP,wind energy total end-use net generation,WY,wind energy,TX,all end-use sectors,million kilowatthours
ESCCP,"electricity consumed by (i.e., sold to) the commercial sector",ES,electricity,CC,commercial sector,million kilowatthours
HYCCP,hydroelectricity net generation in the commercial sector,HY,hydropower,CC,commercial sector,million kilowatthours
SOCCP,solar thermal and photovoltaic electricity net generation in the commercial sector,SO,solar energy,CC,commercial sector,million kilowatthours
WYCCP,wind electricity net generation in the commercial sector,WY,wind energy,CC,commercial sector,million kilowatthours
GEEGP,geothermal electricity net generation in the electric power sector,GE,geothermal energy,EG,electric power sector,million kilowatthours
HYEGP,hydroelectricity net generation in the electric power sector,HY,hydropower,EG,electric power sector,million kilowatthours
NUEGP,nuclear electricity net generation in the electric power sector,NU,nuclear energy,EG,electric power sector,million kilowatthours
SOEGP,solar thermal and photovoltaic electricity net generation in the electric power sector,SO,solar energy,EG,electric power sector,million kilowatthours
WYEGP,wind electricity net generation in the electric power sector,WY,wind energy,EG,electric power sector,million kilowatthours
ELEXP,electricity exported from the united states,EL,electricity,EX,exported from the united states,million kilowatthours
ELIMP,electricity imported into the united states,EL,electricity,IM,imported into the united states,million kilowatthours
ESICP,"electricity consumed by (i.e., sold to) the industrial sector",ES,electricity,IC,industrial sector,million kilowatthours
