sector_code,summary_code,underlying_code,detail_code,naics_code,sector_desc,summary_desc,underlying_desc,detail_desc,notes
33DG,3361MV,336111,336111,336111,Durable goods,"Motor vehicles, bodies and trailers, and parts",Automobile manufacturing,Automobile manufacturing,
33DG,3361MV,336112,336112,336112,Durable goods,"Motor vehicles, bodies and trailers, and parts",Light truck and utility vehicle manufacturing,Light truck and utility vehicle manufacturing,
33DG,3361MV,33612,336120,33612,Durable goods,"Motor vehicles, bodies and trailers, and parts",Heavy duty truck manufacturing,Heavy duty truck manufacturing,
33DG,3361MV,3362BP,336211,336211,Durable goods,"Motor vehicles, bodies and trailers, and parts","Motor vehicle body, trailer, and parts manufacturing",Motor vehicle body manufacturing,
33DG,3361MV,3362BP,336212,336212,Durable goods,"Motor vehicles, bodies and trailers, and parts","Motor vehicle body, trailer, and parts manufacturing",Truck trailer manufacturing,
33DG,3361MV,3362BP,336213,336213,Durable goods,"Motor vehicles, bodies and trailers, and parts","Motor vehicle body, trailer, and parts manufacturing",Motor home manufacturing,
33DG,3361MV,3362BP,336214,336214,Durable goods,"Motor vehicles, bodies and trailers, and parts","Motor vehicle body, trailer, and parts manufacturing",Travel trailer and camper manufacturing,
33DG,3361MV,3362BP,336310,33631,Durable goods,"Motor vehicles, bodies and trailers, and parts","Motor vehicle body, trailer, and parts manufacturing",Motor vehicle gasoline engine and engine parts manufacturing,
33DG,3361MV,3362BP,336320,33632,Durable goods,"Motor vehicles, bodies and trailers, and parts","Motor vehicle body, trailer, and parts manufacturing",Motor vehicle electrical and electronic equipment manufacturing,
33DG,3361MV,3362BP,3363A0,33633-4,Durable goods,"Motor vehicles, bodies and trailers, and parts","Motor vehicle body, trailer, and parts manufacturing","Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",
33DG,3361MV,3362BP,336350,33635,Durable goods,"Motor vehicles, bodies and trailers, and parts","Motor vehicle body, trailer, and parts manufacturing",Motor vehicle transmission and power train parts manufacturing,
33DG,3361MV,3362BP,336360,33636,Durable goods,"Motor vehicles, bodies and trailers, and parts","Motor vehicle body, trailer, and parts manufacturing",Motor vehicle seating and interior trim manufacturing,
33DG,3361MV,3362BP,336370,33637,Durable goods,"Motor vehicles, bodies and trailers, and parts","Motor vehicle body, trailer, and parts manufacturing",Motor vehicle metal stamping,
33DG,3361MV,3362BP,336390,33639,Durable goods,"Motor vehicles, bodies and trailers, and parts","Motor vehicle body, trailer, and parts manufacturing",Other motor vehicle parts manufacturing,
33DG,3364OT,3364,336411,336411,Durable goods,Other transportation equipment,Aerospace product and parts manufacturing,Aircraft manufacturing,
33DG,3364OT,3364,336412,336412,Durable goods,Other transportation equipment,Aerospace product and parts manufacturing,Aircraft engine and engine parts manufacturing,
33DG,3364OT,3364,336413,336413,Durable goods,Other transportation equipment,Aerospace product and parts manufacturing,Other aircraft parts and auxiliary equipment manufacturing,
33DG,3364OT,3364,336414,336414,Durable goods,Other transportation equipment,Aerospace product and parts manufacturing,Guided missile and space vehicle manufacturing,
33DG,3364OT,3364,33641A,"336415, 336419",Durable goods,Other transportation equipment,Aerospace product and parts manufacturing,Propulsion units and parts for space vehicles and guided missiles,
33DG,3364OT,3365AO,336500,3365,Durable goods,Other transportation equipment,All other transportation equipment manufacturing,Railroad rolling stock manufacturing,
33DG,3364OT,3365AO,336611,336611,Durable goods,Other transportation equipment,All other transportation equipment manufacturing,Ship building and repairing,
33DG,3364OT,3365AO,336612,336612,Durable goods,Other transportation equipment,All other transportation equipment manufacturing,Boat building,
33DG,3364OT,3365AO,336991,336991,Durable goods,Other transportation equipment,All other transportation equipment manufacturing,"Motorcycle, bicycle, and parts manufacturing",
33DG,3364OT,3365AO,336992,336992,Durable goods,Other transportation equipment,All other transportation equipment manufacturing,"Military armored vehicle, tank, and tank component manufacturing",
33DG,3364OT,3365AO,336999,336999,Durable goods,Other transportation equipment,All other transportation equipment manufacturing,All other transportation equipment manufacturing,
33DG,337,337,337110,33711,Durable goods,Furniture and related products,Furniture and related products,Wood kitchen cabinet and countertop manufacturing,
33DG,337,337,337121,337121,Durable goods,Furniture and related products,Furniture and related products,Upholstered household furniture manufacturing,
33DG,337,337,337122,337122,Durable goods,Furniture and related products,Furniture and related products,Nonupholstered wood household furniture manufacturing,
33DG,337,337,33712N,337124-5,Durable goods,Furniture and related products,Furniture and related products,Other household nonupholstered furniture,
33DG,337,337,337127,337127,Durable goods,Furniture and related products,Furniture and related products,Institutional furniture manufacturing,
33DG,337,337,33721A,"337211-2, 337214",Durable goods,Furniture and related products,Furniture and related products,Office furniture and custom architectural woodwork and millwork manufacturing,
33DG,337,337,337215,337215,Durable goods,Furniture and related products,Furniture and related products,"Showcase, partition, shelving, and locker manufacturing",
33DG,337,337,337900,3379,Durable goods,Furniture and related products,Furniture and related products,Other furniture related product manufacturing,
33DG,339,3391,339112,339112,Durable goods,Miscellaneous manufacturing,Medical equipment and supplies manufacturing,Surgical and medical instrument manufacturing,
33DG,339,3391,339113,339113,Durable goods,Miscellaneous manufacturing,Medical equipment and supplies manufacturing,Surgical appliance and supplies manufacturing,
33DG,339,3391,339114,339114,Durable goods,Miscellaneous manufacturing,Medical equipment and supplies manufacturing,Dental equipment and supplies manufacturing,
33DG,339,3391,339115,339115,Durable goods,Miscellaneous manufacturing,Medical equipment and supplies manufacturing,Ophthalmic goods manufacturing,
33DG,339,3391,339116,339116,Durable goods,Miscellaneous manufacturing,Medical equipment and supplies manufacturing,Dental laboratories,
33DG,339,3399,339910,33991,Durable goods,Miscellaneous manufacturing,Other miscellaneous manufacturing,Jewelry and silverware manufacturing,
33DG,339,3399,339920,33992,Durable goods,Miscellaneous manufacturing,Other miscellaneous manufacturing,Sporting and athletic goods manufacturing,
33DG,339,3399,339930,33993,Durable goods,Miscellaneous manufacturing,Other miscellaneous manufacturing,"Doll, toy, and game manufacturing",
33DG,339,3399,339940,33994,Durable goods,Miscellaneous manufacturing,Other miscellaneous manufacturing,Office supplies (except paper) manufacturing,
33DG,339,3399,339950,33995,Durable goods,Miscellaneous manufacturing,Other miscellaneous manufacturing,Sign manufacturing,
33DG,339,3399,339990,33999,Durable goods,Miscellaneous manufacturing,Other miscellaneous manufacturing,All other miscellaneous manufacturing,
42,42,4231,423100,4231,Wholesale trade,Wholesale trade,Motor vehicle and motor vehicle parts and supplies,Motor vehicle and motor vehicle parts and supplies,
42,42,4234,423400,4234,Wholesale trade,Wholesale trade,Professional and commercial equipment and supplies,Professional and commercial equipment and supplies,
42,42,4236,423600,4236,Wholesale trade,Wholesale trade,Household appliances and electrical and electronic goods,Household appliances and electrical and electronic goods,
42,42,4238,423800,4238,Wholesale trade,Wholesale trade,"Machinery, equipment, and supplies","Machinery, equipment, and supplies",
42,42,423X,423A00,"4232, 4233, 4235, 4237, 4239",Wholesale trade,Wholesale trade,Other durable goods merchant wholesalers,Other durable goods merchant wholesalers,
42,42,4242,424200,4242,Wholesale trade,Wholesale trade,Drugs and druggists' sundries,Drugs and druggists' sundries,
42,42,4244,424400,4244,Wholesale trade,Wholesale trade,Grocery and related product wholesalers,Grocery and related product wholesalers,
42,42,4247,424700,4247,Wholesale trade,Wholesale trade,Petroleum and petroleum products,Petroleum and petroleum products,
42,42,424X,424A00,"4241, 4243, 4245, 4246, 4248, 4249",Wholesale trade,Wholesale trade,Other nondurable goods merchant wholesalers,Other nondurable goods merchant wholesalers,
42,42,425,425000,425,Wholesale trade,Wholesale trade,Wholesale electronic markets and agents and brokers,Wholesale electronic markets and agents and brokers,
42,42,42ID,4200ID,,Wholesale trade,Wholesale trade,Customs duties,Customs duties,
44RT,441,441,441000,441,Retail trade,Motor vehicle and parts dealers,Motor vehicle and parts dealers,Motor vehicle and parts dealers,
44RT,445,445,445000,445,Retail trade,Food and beverage stores,Food and beverage stores,Food and beverage stores,
44RT,452,452,452000,452,Retail trade,General merchandise stores,General merchandise stores,General merchandise stores,
44RT,4A0,444,444000,444,Retail trade,Other retail,Building material and garden equipment and supplies dealers,Building material and garden equipment and supplies dealers,
44RT,4A0,446,446000,446,Retail trade,Other retail,Health and personal care stores,Health and personal care stores,
44RT,4A0,447,447000,447,Retail trade,Other retail,Gasoline stations,Gasoline stations,
44RT,4A0,448,448000,448,Retail trade,Other retail,Clothing and clothing accessories stores,Clothing and clothing accessories stores,
44RT,4A0,454,454000,454,Retail trade,Other retail,Nonstore retailers,Nonstore retailers,
44RT,4A0,4A0X,4B0000,"442, 443, 451, 453",Retail trade,Other retail,All other retail,All other retail,
48TW,481,481,481000,481,"Transportation and warehousing, excluding postal service",Air transportation,Air transportation,Air transportation,
48TW,482,482,482000,482,"Transportation and warehousing, excluding postal service",Rail transportation,Rail transportation,Rail transportation,
48TW,483,483,483000,483,"Transportation and warehousing, excluding postal service",Water transportation,Water transportation,Water transportation,
48TW,484,484,484000,484,"Transportation and warehousing, excluding postal service",Truck transportation,Truck transportation,Truck transportation,
48TW,485,485,485000,485,"Transportation and warehousing, excluding postal service",Transit and ground passenger transportation,Transit and ground passenger transportation,Transit and ground passenger transportation,
48TW,486,486,486000,486,"Transportation and warehousing, excluding postal service",Pipeline transportation,Pipeline transportation,Pipeline transportation,
48TW,487OS,48A,48A000,"487, 488","Transportation and warehousing, excluding postal service",Other transportation and support activities,Scenic and sightseeing transportation and support activities,Scenic and sightseeing transportation and support activities,
48TW,487OS,492,492000,492,"Transportation and warehousing, excluding postal service",Other transportation and support activities,Couriers and messengers,Couriers and messengers,
48TW,493,493,493000,493,"Transportation and warehousing, excluding postal service",Warehousing and storage,Warehousing and storage,Warehousing and storage,
51,511,5111,511110,51111,Information,"Publishing industries, except internet (includes software)","Newspaper, periodical, book, and directory publishers",Newspaper publishers,
51,511,5111,511120,51112,Information,"Publishing industries, except internet (includes software)","Newspaper, periodical, book, and directory publishers",Periodical publishers,
51,511,5111,511130,51113,Information,"Publishing industries, except internet (includes software)","Newspaper, periodical, book, and directory publishers",Book publishers,
51,511,5111,5111A0,"51114, 51119",Information,"Publishing industries, except internet (includes software)","Newspaper, periodical, book, and directory publishers","Directory, mailing list, and other publishers",
51,511,5112,511200,51121,Information,"Publishing industries, except internet (includes software)",Software publishers,Software publishers,
51,512,512,512100,5121,Information,Motion picture and sound recording industries,Motion picture and sound recording industries,Motion picture and video industries,
51,512,512,512200,5122,Information,Motion picture and sound recording industries,Motion picture and sound recording industries,Sound recording industries,
51,513,515,515100,5151,Information,Broadcasting and telecommunications,Broadcasting (except Internet),Radio and television broadcasting,
51,513,515,515200,5152,Information,Broadcasting and telecommunications,Broadcasting (except Internet),Cable and other subscription programming,
51,513,5171,517110,5171,Information,Broadcasting and telecommunications,Wired telecommunications carriers,Wired telecommunications carriers,
51,513,5172,517210,5172,Information,Broadcasting and telecommunications,Wireless telecommunications carriers (except satellite),Wireless telecommunications carriers (except satellite),
51,513,5174OT,517A00,5174-9,Information,Broadcasting and telecommunications,"Other telecommunications, including satellite","Satellite, telecommunications resellers, and all other telecommunications",
51,514,518,518200,5182,Information,"Data processing, internet publishing, and other information services","Data processing, hosting, and related services","Data processing, hosting, and related services",
51,514,519,5191A0,"51911-2, 51919",Information,"Data processing, internet publishing, and other information services",Other information services,"News syndicates, libraries, archives and all other information services",
51,514,519,519130,51913,Information,"Data processing, internet publishing, and other information services",Other information services,Internet publishing and broadcasting and Web search portals,
52,521CI,521CI,52A000,"521, 5221",Finance and insurance,"Federal Reserve banks, credit intermediation, and related activities","Federal Reserve banks, credit intermediation, and related activities",Monetary authorities and depository credit intermediation,
52,521CI,521CI,522A00,5222-3,Finance and insurance,"Federal Reserve banks, credit intermediation, and related activities","Federal Reserve banks, credit intermediation, and related activities",Nondepository credit intermediation and related activities,
52,523,523,523A00,5231-2,Finance and insurance,"Securities, commodity contracts, and investments","Securities, commodity contracts, and investments",Securities and commodity contracts intermediation and brokerage,
52,523,523,523900,5239,Finance and insurance,"Securities, commodity contracts, and investments","Securities, commodity contracts, and investments",Other financial investment activities,
52,524,524113,524113,524113,Finance and insurance,Insurance carriers and related activities,Direct life insurance carriers,Direct life insurance carriers,
52,524,5241X,5241XX,"524114, 52412, 52413",Finance and insurance,Insurance carriers and related activities,"Insurance carriers, except direct life","Insurance carriers, except direct life",
52,524,5242,524200,5242,Finance and insurance,Insurance carriers and related activities,"Agencies, brokerages, and other insurance related activities","Insurance agencies, brokerages, and related activities",
52,525,525,525000,525,Finance and insurance,"Funds, trusts, and other financial vehicles","Funds, trusts, and other financial vehicles","Funds, trusts, and other financial vehicles",
53,532RL,532RL,532100,5321,Real estate and rental and leasing,Rental and leasing services and lessors of intangible assets,Rental and leasing services and lessors of intangible assets,Automotive equipment rental and leasing,
53,532RL,532RL,532A00,5322-3,Real estate and rental and leasing,Rental and leasing services and lessors of intangible assets,Rental and leasing services and lessors of intangible assets,General and consumer goods rental,
53,532RL,532RL,532400,5324,Real estate and rental and leasing,Rental and leasing services and lessors of intangible assets,Rental and leasing services and lessors of intangible assets,Commercial and industrial machinery and equipment rental and leasing,
53,532RL,532RL,533000,533,Real estate and rental and leasing,Rental and leasing services and lessors of intangible assets,Rental and leasing services and lessors of intangible assets,Lessors of nonfinancial intangible assets,
53,HS,HSO,531HSO,,Real estate and rental and leasing,Housing,Owner-occupied housing,Owner-occupied housing,
53,HS,HST,531HST,531,Real estate and rental and leasing,Housing,Tenant-occupied housing,Tenant-occupied housing,
53,ORE,ORE,531ORE,531,Real estate and rental and leasing,Other real estate,Other real estate,Other real estate,
54,5411,5411,541100,5411,Professional and technical services,Legal services,Legal services,Legal services,
54,5412OP,5412,541200,5412,Professional and technical services,"Miscellaneous professional, scientific, and technical services","Accounting, tax preparation, bookkeeping, and payroll services","Accounting, tax preparation, bookkeeping, and payroll services",
54,5412OP,5413,541300,5413,Professional and technical services,"Miscellaneous professional, scientific, and technical services","Architectural, engineering, and related services","Architectural, engineering, and related services",
54,5412OP,5416,541610,54161,Professional and technical services,"Miscellaneous professional, scientific, and technical services","Management, scientific, and technical consulting services",Management consulting services,
54,5412OP,5416,5416A0,"54162, 54169",Professional and technical services,"Miscellaneous professional, scientific, and technical services","Management, scientific, and technical consulting services",Environmental and other technical consulting services,
54,5412OP,5417,541700,5417,Professional and technical services,"Miscellaneous professional, scientific, and technical services",Scientific research and development services,Scientific research and development services,
54,5412OP,5418,541800,5418,Professional and technical services,"Miscellaneous professional, scientific, and technical services","Advertising, public relations, and related services","Advertising, public relations, and related services",
54,5412OP,541X,541400,5414,Professional and technical services,"Miscellaneous professional, scientific, and technical services","Specialized design services and other professional, scientific, and technical services",Specialized design services,
54,5412OP,541X,5419A0,"54191, 54193, 54199",Professional and technical services,"Miscellaneous professional, scientific, and technical services","Specialized design services and other professional, scientific, and technical services","All other miscellaneous professional, scientific, and technical services",
54,5412OP,541X,541920,54192,Professional and technical services,"Miscellaneous professional, scientific, and technical services","Specialized design services and other professional, scientific, and technical services",Photographic services,
54,5412OP,541X,541940,54194,Professional and technical services,"Miscellaneous professional, scientific, and technical services","Specialized design services and other professional, scientific, and technical services",Veterinary services,
54,5415,5415,541511,541511,Professional and technical services,Computer systems design and related services,Computer systems design and related services,Custom computer programming services,
54,5415,5415,541512,541512,Professional and technical services,Computer systems design and related services,Computer systems design and related services,Computer systems design services,
54,5415,5415,54151A,"541513, 541519",Professional and technical services,Computer systems design and related services,Computer systems design and related services,"Other computer related services, including facilities management",
55,55,55,550000,55,Management of companies and entreprises,Management of companies and enterprises,Management of companies and enterprises,Management of companies and enterprises,
56,561,5613,561300,5613,Administrative and waste services,Administrative and support services,Employment services,Employment services,
56,561,5617,561700,5617,Administrative and waste services,Administrative and support services,Services to buildings and dwellings,Services to buildings and dwellings,
56,561,561X,561100,5611,Administrative and waste services,Administrative and support services,Other administrative and support services,Office administrative services,
56,561,561X,561200,5612,Administrative and waste services,Administrative and support services,Other administrative and support services,Facilities support services,
56,561,561X,561400,5614,Administrative and waste services,Administrative and support services,Other administrative and support services,Business support services,
56,561,561X,561500,5615,Administrative and waste services,Administrative and support services,Other administrative and support services,Travel arrangement and reservation services,
56,561,561X,561600,5616,Administrative and waste services,Administrative and support services,Other administrative and support services,Investigation and security services,
56,561,561X,561900,5619,Administrative and waste services,Administrative and support services,Other administrative and support services,Other support services,
56,562,562,562000,562,Administrative and waste services,Waste management and remediation services,Waste management and remediation services,Waste management and remediation services,
61,61,61,611100,6111,Educational services,Educational services,Educational services,Elementary and secondary schools,
61,61,61,611A00,6112-3,Educational services,Educational services,Educational services,"Junior colleges, colleges, universities, and professional schools",
61,61,61,611B00,6114-7,Educational services,Educational services,Educational services,Other educational services,
62,621,6211,621100,6211,Health care and social assistance,Ambulatory health care services,Offices of physicians,Offices of physicians,
62,621,6212,621200,6212,Health care and social assistance,Ambulatory health care services,Offices of dentists,Offices of dentists,
62,621,6213,621300,6213,Health care and social assistance,Ambulatory health care services,Offices of other health practitioners,Offices of other health practitioners,
62,621,6214,621400,6214,Health care and social assistance,Ambulatory health care services,Outpatient care centers,Outpatient care centers,
62,621,6215OH,621500,6215,Health care and social assistance,Ambulatory health care services,Other ambulatory health care services,Medical and diagnostic laboratories,
62,621,6215OH,621600,6216,Health care and social assistance,Ambulatory health care services,Other ambulatory health care services,Home health care services,
62,621,6215OH,621900,6219,Health care and social assistance,Ambulatory health care services,Other ambulatory health care services,Other ambulatory health care services,
62,622,622,622000,622,Health care and social assistance,Hospitals,Hospitals,Hospitals,
62,623,623,623A00,"6231, 6233",Health care and social assistance,Nursing and residential care facilities,Nursing and residential care facilities,Nursing and community care facilities,
62,623,623,623B00,"6232, 6239",Health care and social assistance,Nursing and residential care facilities,Nursing and residential care facilities,"Residential mental health, substance abuse, and other residential care facilities",
62,624,624,624100,6241,Health care and social assistance,Social assistance,Social assistance,Individual and family services,
62,624,624,624A00,6242-3,Health care and social assistance,Social assistance,Social assistance,"Community food, housing, and other relief services, including vocational rehabilitation services",
62,624,624,624400,6244,Health care and social assistance,Social assistance,Social assistance,Child day care services,
71,711AS,711AS,711100,7111,"Arts, entertainment, and recreation","Performing arts, spectator sports, museums, and related activities","Performing arts, spectator sports, museums, and related activities",Performing arts companies,
71,711AS,711AS,711200,7112,"Arts, entertainment, and recreation","Performing arts, spectator sports, museums, and related activities","Performing arts, spectator sports, museums, and related activities",Spectator sports,
71,711AS,711AS,711A00,7113-4,"Arts, entertainment, and recreation","Performing arts, spectator sports, museums, and related activities","Performing arts, spectator sports, museums, and related activities",Promoters of performing arts and sports and agents for public figures,
71,711AS,711AS,711500,7115,"Arts, entertainment, and recreation","Performing arts, spectator sports, museums, and related activities","Performing arts, spectator sports, museums, and related activities","Independent artists, writers, and performers",
71,711AS,711AS,712000,712,"Arts, entertainment, and recreation","Performing arts, spectator sports, museums, and related activities","Performing arts, spectator sports, museums, and related activities","Museums, historical sites, zoos, and parks",
71,713,713,713100,7131,"Arts, entertainment, and recreation","Amusements, gambling, and recreation industries","Amusements, gambling, and recreation industries",Amusement parks and arcades,
71,713,713,713200,7132,"Arts, entertainment, and recreation","Amusements, gambling, and recreation industries","Amusements, gambling, and recreation industries",Gambling industries (except casino hotels),
71,713,713,713900,7139,"Arts, entertainment, and recreation","Amusements, gambling, and recreation industries","Amusements, gambling, and recreation industries",Other amusement and recreation industries,
72,721,721,721000,721,Accommodation and food services,Accommodation,Accommodation,Accommodation,
72,722,722,722A00,"7223-4, 722514-5",Accommodation and food services,Food services and drinking places,Food services and drinking places,All other food and drinking places,
72,722,722,722110,722511,Accommodation and food services,Food services and drinking places,Food services and drinking places,Full-service restaurants,
72,722,722,722211,722513,Accommodation and food services,Food services and drinking places,Food services and drinking places,Limited-service restaurants,
81,81,811,811100,8111,"Other services, except government","Other services, except government",Repair and maintenance,Automotive repair and maintenance (including car washes),
81,81,811,811200,8112,"Other services, except government","Other services, except government",Repair and maintenance,Electronic and precision equipment repair and maintenance,
81,81,811,811300,8113,"Other services, except government","Other services, except government",Repair and maintenance,Commercial and industrial machinery and equipment repair and maintenance,
81,81,811,811400,8114,"Other services, except government","Other services, except government",Repair and maintenance,Personal and household goods repair and maintenance,
81,81,812,812100,8121,"Other services, except government","Other services, except government",Personal and laundry services,Personal care services,
81,81,812,812200,8122,"Other services, except government","Other services, except government",Personal and laundry services,Death care services,
81,81,812,812300,8123,"Other services, except government","Other services, except government",Personal and laundry services,Dry-cleaning and laundry services,
81,81,812,812900,8129,"Other services, except government","Other services, except government",Personal and laundry services,Other personal services,
81,81,813,813100,8131,"Other services, except government","Other services, except government","Religious, grantmaking, civic, professional, and similar organizations",Religious organizations,
81,81,813,813A00,"8132, 8133","Other services, except government","Other services, except government","Religious, grantmaking, civic, professional, and similar organizations","Grantmaking, giving, and social advocacy organizations",
81,81,813,813B00,"8134, 8139","Other services, except government","Other services, except government","Religious, grantmaking, civic, professional, and similar organizations","Civic, social, professional, and similar organizations",
81,81,814,814000,814,"Other services, except government","Other services, except government",Private households,Private households,
G,GFE,GFE,491000,491,Government,Federal government enterprises,Federal government enterprises,Postal service,
G,GFE,GFE,S00102,,Government,Federal government enterprises,Federal government enterprises,Other federal government enterprises,
G,GFGD,GFGD,S00500,,Government,Federal general government (defense),Federal general government (defense),Federal general government (defense),
G,GFGN,GFGN,S00600,,Government,Federal general government (nondefense),Federal general government (nondefense),Federal general government (nondefense),
G,GSLE,GSLE,S00203,,Government,State and local government enterprises,State and local government enterprises,Other state and local government enterprises,
G,GSLG,GSLGE,GSLGE,,Government,State and local general government,State and local government (educational services),State and local government (educational services),
G,GSLG,GSLGH,GSLGH,,Government,State and local general government,State and local government (hospitals and health services),State and local government (hospitals and health services),
G,GSLG,GSLGO,GSLGO,,Government,State and local general government,State and local government (other services),State and local government (other services),
