sgf_1997,line_num_1997,sgf_1997_relabel,sgf_1997_units,sgf_1998,line_num_1998,sgf_1998_relabel,sgf_1998_units,sgf_1999,line_num_1999,sgf_1999_relabel,sgf_1999_units,sgf_2000,line_num_2000,sgf_2000_relabel,sgf_2000_units,sgf_2001,line_num_2001,sgf_2001_relabel,sgf_2001_units,sgf_2002,line_num_2002,sgf_2002_relabel,sgf_2002_units,sgf_2003,line_num_2003,sgf_2003_relabel,sgf_2003_units,sgf_2004,line_num_2004,sgf_2004_relabel,sgf_2004_units,sgf_2005,line_num_2005,sgf_2005_relabel,sgf_2005_units,sgf_2006,line_num_2006,sgf_2006_relabel,sgf_2006_units,sgf_2007,line_num_2007,sgf_2007_relabel,sgf_2007_units,sgf_2008,line_num_2008,sgf_2008_relabel,sgf_2008_units,sgf_2009,line_num_2009,sgf_2009_relabel,sgf_2009_units,sgf_2010,line_num_2010,sgf_2010_relabel,sgf_2010_units,sgf_2011,line_num_2011,sgf_2011_relabel,sgf_2011_units,sgf_2012,sgf_2012_relabel,sgf_2012_units,sgf_2013,sgf_2013_relabel,sgf_2013_units,finsrc.id_2014,finsrc.id_2014_relabel,finsrc.id_2014_units,finsrc.id_2015,finsrc.id_2015_relabel,finsrc.id_2015_units,finsrc.id_2016,finsrc.id_2016_relabel,finsrc.id_2016_units
Total expenditure,26,Total Expenditure,thousands of us dollars (USD),Total expenditure,26,Total Expenditure,thousands of us dollars (USD),Exhibit: Salaries and wages,26,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD),Exhibit: Salaries and wages,26,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD),Exhibit: Salaries and wages,26,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD),Total expenditure,26,Total Expenditure,thousands of us dollars (USD),Total expenditure,26,Total Expenditure,thousands of us dollars (USD),General expenditure,26,Total Expenditure - General Expenditure,thousands of us dollars (USD),General expenditure,26,Total Expenditure - General Expenditure,thousands of us dollars (USD),General expenditure,26,Total Expenditure - General Expenditure,thousands of us dollars (USD),General expenditure,26,Total Expenditure - General Expenditure,thousands of us dollars (USD),General expenditure,26,Total Expenditure - General Expenditure,thousands of us dollars (USD),General expenditure,26,Total Expenditure - General Expenditure,thousands of us dollars (USD),General expenditure,26,Total Expenditure - General Expenditure,thousands of us dollars (USD),General expenditure,26,Total Expenditure - General Expenditure,thousands of us dollars (USD),SGF026,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD),SGF026,Total Expenditure - Direct Expenditure - Capital Outlay,thousands of us dollars (USD),232,Total Expenditure - General Expenditure - Direct General Expenditure,thousands of us dollars (USD),232,Total Expenditure - General Expenditure - Direct General Expenditure,thousands of us dollars (USD),232,Total Expenditure - General Expenditure - Direct General Expenditure,thousands of us dollars (USD)
General expenditure,27,Total Expenditure - General Expenditure,thousands of us dollars (USD),General expenditure,27,Total Expenditure - General Expenditure,thousands of us dollars (USD),Total expenditure,27,Total Expenditure,thousands of us dollars (USD),Total expenditure,27,Total Expenditure,thousands of us dollars (USD),Total expenditure,27,Total Expenditure,thousands of us dollars (USD),General expenditure,27,Total Expenditure - General Expenditure,thousands of us dollars (USD),General expenditure,27,Total Expenditure - General Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,27,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,27,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,27,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,27,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,27,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,27,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,27,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,27,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,thousands of us dollars (USD),SGF027,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD),SGF027,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments,thousands of us dollars (USD),234,"General Expenditure, by Function: - Education",thousands of us dollars (USD),234,"General Expenditure, by Function: - Education",thousands of us dollars (USD),234,"General Expenditure, by Function: - Education",thousands of us dollars (USD)
Intergovernmental expenditure,28,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,28,Total Expenditure - Intergovernmental Expenditure,thousands of us dollars (USD),General expenditure,28,Total Expenditure - General Expenditure,thousands of us dollars (USD),General expenditure,28,Total Expenditure - General Expenditure,thousands of us dollars (USD),General expenditure,28,Total Expenditure - General Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,28,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,28,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,thousands of us dollars (USD),Direct expenditure,28,Total Expenditure - General Expenditure - Direct General Expenditure,thousands of us dollars (USD),Direct expenditure,28,Total Expenditure - General Expenditure - Direct General Expenditure,thousands of us dollars (USD),Direct expenditure,28,Total Expenditure - General Expenditure - Direct General Expenditure,thousands of us dollars (USD),Direct expenditure,28,Total Expenditure - General Expenditure - Direct General Expenditure,thousands of us dollars (USD),Direct expenditure,28,Total Expenditure - General Expenditure - Direct General Expenditure,thousands of us dollars (USD),Direct expenditure,28,Total Expenditure - General Expenditure - Direct General Expenditure,thousands of us dollars (USD),Direct expenditure,28,Total Expenditure - General Expenditure - Direct General Expenditure,thousands of us dollars (USD),Direct expenditure,28,Total Expenditure - General Expenditure - Direct General Expenditure,thousands of us dollars (USD),SGF028,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD),SGF028,Total Expenditure - Direct Expenditure - Assistance and Subsidies,thousands of us dollars (USD),2341,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD),2341,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD),2341,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD)
Direct expenditure,29,Total Expenditure - General Expenditure - Direct General Expenditure,thousands of us dollars (USD),Direct expenditure,29,Total Expenditure - General Expenditure - Direct General Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,29,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,29,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,thousands of us dollars (USD),Intergovernmental expenditure,29,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,thousands of us dollars (USD),Direct expenditure,29,Total Expenditure - General Expenditure - Direct General Expenditure,thousands of us dollars (USD),Direct expenditure,29,Total Expenditure - General Expenditure - Direct General Expenditure,thousands of us dollars (USD),"General expenditures, by function:",29,"General Expenditure, by Function:",thousands of us dollars (USD),"General expenditures, by function:",29,"General Expenditure, by Function:",thousands of us dollars (USD),"General expenditures, by function:",29,"General Expenditure, by Function:",thousands of us dollars (USD),"General expenditure, by function:",29,"General Expenditure, by Function:",thousands of us dollars (USD),"General expenditure, by function:",29,"General Expenditure, by Function:",thousands of us dollars (USD),"General expenditure, by function:",29,"General Expenditure, by Function:",thousands of us dollars (USD),"General expenditure, by function:",29,"General Expenditure, by Function:",thousands of us dollars (USD),"General expenditure, by function:",29,"General Expenditure, by Function:",thousands of us dollars (USD),SGF029,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD),SGF029,Total Expenditure - Direct Expenditure - Interest on Debt,thousands of us dollars (USD),2342,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD),2342,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD),2342,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD)
"General expenditure, by function:",30,"General Expenditure, by Function:",thousands of us dollars (USD),"General expenditure, by function:",30,"General Expenditure, by Function:",thousands of us dollars (USD),Direct expenditure,30,Total Expenditure - General Expenditure - Direct General Expenditure,thousands of us dollars (USD),Direct expenditure,30,Total Expenditure - General Expenditure - Direct General Expenditure,thousands of us dollars (USD),Direct expenditure,30,Total Expenditure - General Expenditure - Direct General Expenditure,thousands of us dollars (USD),"General expenditures, by function:",30,"General Expenditure, by Function:",thousands of us dollars (USD),"General expenditures, by function",30,"General Expenditure, by Function:",thousands of us dollars (USD),Education,30,"General Expenditure, by Function: - Education",thousands of us dollars (USD),Education,30,"General Expenditure, by Function: - Education",thousands of us dollars (USD),Education,30,"General Expenditure, by Function: - Education",thousands of us dollars (USD),Education,30,"General Expenditure, by Function: - Education",thousands of us dollars (USD),Education,30,"General Expenditure, by Function: - Education",thousands of us dollars (USD),Education,30,"General Expenditure, by Function: - Education",thousands of us dollars (USD),Education,30,"General Expenditure, by Function: - Education",thousands of us dollars (USD),Education,30,"General Expenditure, by Function: - Education",thousands of us dollars (USD),SGF030,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD),SGF030,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD),2343,"General Expenditure, by Function: - Health",thousands of us dollars (USD),2343,"General Expenditure, by Function: - Health",thousands of us dollars (USD),2343,"General Expenditure, by Function: - Health",thousands of us dollars (USD)
Education,31,"General Expenditure, by Function: - Education",thousands of us dollars (USD),Education,31,"General Expenditure, by Function: - Education",thousands of us dollars (USD),"General expenditures, by function",31,"General Expenditure, by Function:",thousands of us dollars (USD),"General expenditures, by function",31,"General Expenditure, by Function:",thousands of us dollars (USD),"General expenditures, by function",31,"General Expenditure, by Function:",thousands of us dollars (USD),Education,31,"General Expenditure, by Function: - Education",thousands of us dollars (USD),Education,31,"General Expenditure, by Function: - Education",thousands of us dollars (USD),Public welfare,31,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD),Public welfare,31,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD),Public welfare,31,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD),Public welfare,31,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD),Public welfare,31,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD),Public welfare,31,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD),Public welfare,31,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD),Public welfare,31,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD),SGF032,Total Expenditure - General Expenditure,thousands of us dollars (USD),SGF032,Total Expenditure - General Expenditure,thousands of us dollars (USD),2344,"General Expenditure, by Function: - Highways",thousands of us dollars (USD),2344,"General Expenditure, by Function: - Highways",thousands of us dollars (USD),2344,"General Expenditure, by Function: - Highways",thousands of us dollars (USD)
Public welfare,32,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD),Public welfare,32,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD),Education,32,"General Expenditure, by Function: - Education",thousands of us dollars (USD),Education,32,"General Expenditure, by Function: - Education",thousands of us dollars (USD),Education,32,"General Expenditure, by Function: - Education",thousands of us dollars (USD),Public welfare,32,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD),Public welfare,32,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD),Hospitals,32,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD),Hospitals,32,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD),Hospitals,32,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD),Hospitals,32,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD),Hospitals,32,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD),Hospitals,32,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD),Hospitals,32,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD),Hospitals,32,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD),SGF033,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,thousands of us dollars (USD),SGF033,Total Expenditure - General Expenditure - Intergovernmental General Expenditure,thousands of us dollars (USD),2345,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD),2345,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD),2345,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD)
Hospitals,33,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD),Hospitals,33,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD),Public welfare,33,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD),Public welfare,33,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD),Public welfare,33,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD),Hospitals,33,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD),Hospitals,33,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD),Health,33,"General Expenditure, by Function: - Health",thousands of us dollars (USD),Health,33,"General Expenditure, by Function: - Health",thousands of us dollars (USD),Health,33,"General Expenditure, by Function: - Health",thousands of us dollars (USD),Health,33,"General Expenditure, by Function: - Health",thousands of us dollars (USD),Health,33,"General Expenditure, by Function: - Health",thousands of us dollars (USD),Health,33,"General Expenditure, by Function: - Health",thousands of us dollars (USD),Health,33,"General Expenditure, by Function: - Health",thousands of us dollars (USD),Health,33,"General Expenditure, by Function: - Health",thousands of us dollars (USD),SGF034,Total Expenditure - General Expenditure - Direct General Expenditure,thousands of us dollars (USD),SGF034,Total Expenditure - General Expenditure - Direct General Expenditure,thousands of us dollars (USD),2346,"General Expenditure, by Function: - Correction",thousands of us dollars (USD),2346,"General Expenditure, by Function: - Correction",thousands of us dollars (USD),2346,"General Expenditure, by Function: - Correction",thousands of us dollars (USD)
Health,34,"General Expenditure, by Function: - Health",thousands of us dollars (USD),Health,34,"General Expenditure, by Function: - Health",thousands of us dollars (USD),Hospitals,34,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD),Hospitals,34,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD),Hospitals,34,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD),Health,34,"General Expenditure, by Function: - Health",thousands of us dollars (USD),Health,34,"General Expenditure, by Function: - Health",thousands of us dollars (USD),Highways,34,"General Expenditure, by Function: - Highways",thousands of us dollars (USD),Highways,34,"General Expenditure, by Function: - Highways",thousands of us dollars (USD),Highways,34,"General Expenditure, by Function: - Highways",thousands of us dollars (USD),Highways,34,"General Expenditure, by Function: - Highways",thousands of us dollars (USD),Highways,34,"General Expenditure, by Function: - Highways",thousands of us dollars (USD),Highways,34,"General Expenditure, by Function: - Highways",thousands of us dollars (USD),Highways,34,"General Expenditure, by Function: - Highways",thousands of us dollars (USD),Highways,34,"General Expenditure, by Function: - Highways",thousands of us dollars (USD),SGF036,"General Expenditure, by Function: - Education",thousands of us dollars (USD),SGF036,"General Expenditure, by Function: - Education",thousands of us dollars (USD),2347,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD),2347,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD),2347,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD)
Highways,35,"General Expenditure, by Function: - Highways",thousands of us dollars (USD),Highways,35,"General Expenditure, by Function: - Highways",thousands of us dollars (USD),Health,35,"General Expenditure, by Function: - Health",thousands of us dollars (USD),Health,35,"General Expenditure, by Function: - Health",thousands of us dollars (USD),Health,35,"General Expenditure, by Function: - Health",thousands of us dollars (USD),Highways,35,"General Expenditure, by Function: - Highways",thousands of us dollars (USD),Highways,35,"General Expenditure, by Function: - Highways",thousands of us dollars (USD),Police protection,35,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD),Police protection,35,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD),Police protection,35,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD),Police protection,35,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD),Police protection,35,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD),Police protection,35,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD),Police protection,35,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD),Police protection,35,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD),SGF037,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD),SGF037,"General Expenditure, by Function: - Public Welfare",thousands of us dollars (USD),2348,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD),2348,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD),2348,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD)
Police protection,36,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD),Police protection,36,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD),Highways,36,"General Expenditure, by Function: - Highways",thousands of us dollars (USD),Highways,36,"General Expenditure, by Function: - Highways",thousands of us dollars (USD),Highways,36,"General Expenditure, by Function: - Highways",thousands of us dollars (USD),Police protection,36,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD),Police protection,36,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD),Correction,36,"General Expenditure, by Function: - Correction",thousands of us dollars (USD),Correction,36,"General Expenditure, by Function: - Correction",thousands of us dollars (USD),Correction,36,"General Expenditure, by Function: - Correction",thousands of us dollars (USD),Correction,36,"General Expenditure, by Function: - Correction",thousands of us dollars (USD),Correction,36,"General Expenditure, by Function: - Correction",thousands of us dollars (USD),Correction,36,"General Expenditure, by Function: - Correction",thousands of us dollars (USD),Correction,36,"General Expenditure, by Function: - Correction",thousands of us dollars (USD),Correction,36,"General Expenditure, by Function: - Correction",thousands of us dollars (USD),SGF038,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD),SGF038,"General Expenditure, by Function: - Hospitals",thousands of us dollars (USD),2349,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD),2349,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD),2349,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD)
Correction,37,"General Expenditure, by Function: - Correction",thousands of us dollars (USD),Correction,37,"General Expenditure, by Function: - Correction",thousands of us dollars (USD),Police protection,37,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD),Police protection,37,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD),Police protection,37,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD),Correction,37,"General Expenditure, by Function: - Correction",thousands of us dollars (USD),Correction,37,"General Expenditure, by Function: - Correction",thousands of us dollars (USD),Natural resources,37,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD),Natural resources,37,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD),Natural resources,37,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD),Natural resources,37,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD),Natural resources,37,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD),Natural resources,37,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD),Natural resources,37,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD),Natural resources,37,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD),SGF039,"General Expenditure, by Function: - Health",thousands of us dollars (USD),SGF039,"General Expenditure, by Function: - Health",thousands of us dollars (USD),2350,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD),2350,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD),2350,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD)
Natural resources,38,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD),Natural resources,38,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD),Correction,38,"General Expenditure, by Function: - Correction",thousands of us dollars (USD),Correction,38,"General Expenditure, by Function: - Correction",thousands of us dollars (USD),Correction,38,"General Expenditure, by Function: - Correction",thousands of us dollars (USD),Natural resources,38,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD),Natural resources,38,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD),Parks and recreation,38,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD),Parks and recreation,38,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD),Parks and recreation,38,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD),Parks and recreation,38,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD),Parks and recreation,38,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD),Parks and recreation,38,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD),Parks and recreation,38,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD),Parks and recreation,38,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD),SGF040,"General Expenditure, by Function: - Highways",thousands of us dollars (USD),SGF040,"General Expenditure, by Function: - Highways",thousands of us dollars (USD),2351,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD),2351,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD),2351,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD)
Parks and recreation,39,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD),Parks and recreation,39,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD),Natural resources,39,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD),Natural resources,39,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD),Natural resources,39,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD),Parks and recreation,39,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD),Parks and recreation,39,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD),Government administration,39,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD),Government administration,39,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD),Government administration,39,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD),Governmental administration,39,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD),Governmental administration,39,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD),Governmental administration,39,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD),Governmental administration,39,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD),Governmental administration,39,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD),SGF041,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD),SGF041,"General Expenditure, by Function: - Police Protection",thousands of us dollars (USD),25,Utility Expenditure,thousands of us dollars (USD),25,Utility Expenditure,thousands of us dollars (USD),25,Utility Expenditure,thousands of us dollars (USD)
Governmental administration,40,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD),Governmental administration,40,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD),Parks and recreation,40,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD),Parks and recreation,40,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD),Parks and recreation,40,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD),Government administration,40,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD),Government administration,40,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD),Interest on general debt,40,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD),Interest on general debt,40,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD),Interest on general debt,40,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD),Interest on general debt,40,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD),Interest on general debt,40,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD),Interest on general debt,40,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD),Interest on general debt,40,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD),Interest on general debt,40,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD),SGF042,"General Expenditure, by Function: - Correction",thousands of us dollars (USD),SGF042,"General Expenditure, by Function: - Correction",thousands of us dollars (USD),26,Liquor Stores Expenditure,thousands of us dollars (USD),26,Liquor Stores Expenditure,thousands of us dollars (USD),26,Liquor Stores Expenditure,thousands of us dollars (USD)
Interest on general debt,41,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD),Interest on general debt,41,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD),Government administration,41,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD),Government administration,41,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD),Government administration,41,"General Expenditure, by Function: - Governmental Administration",thousands of us dollars (USD),Interest on general debt,41,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD),Interest on general debt,41,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD),Other and unallocable,41,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD),Other and unallocable,41,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD),Other and unallocable,41,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD),Other and unallocable,41,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD),Other and unallocable,41,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD),Other and unallocable,41,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD),Other and unallocable,41,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD),Other and unallocable,41,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD),SGF043,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD),SGF043,"General Expenditure, by Function: - Natural Resources",thousands of us dollars (USD),27,Insurance Trust Expenditure,thousands of us dollars (USD),27,Insurance Trust Expenditure,thousands of us dollars (USD),27,Insurance Trust Expenditure,thousands of us dollars (USD)
Other and unallocable,42,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD),Other and unallocable,42,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD),Interest on general debt,42,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD),Interest on general debt,42,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD),Interest on general debt,42,"General Expenditure, by Function: - Interest on General Debt",thousands of us dollars (USD),Other and unallocable,42,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD),Other and unallocable,42,"General Expenditure, by Function: - Other and Unallocable",thousands of us dollars (USD),Utility expenditure,42,Utility Expenditure,thousands of us dollars (USD),Utility expenditure,42,Utility Expenditure,thousands of us dollars (USD),Utility expenditure,42,Utility Expenditure,thousands of us dollars (USD),Utility expenditure,42,Utility Expenditure,thousands of us dollars (USD),Utility expenditure,42,Utility Expenditure,thousands of us dollars (USD),Utility expenditure,42,Utility Expenditure,thousands of us dollars (USD),Utility expenditure,42,Utility Expenditure,thousands of us dollars (USD),Utility expenditure,42,Utility Expenditure,thousands of us dollars (USD),SGF044,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD),SGF044,"General Expenditure, by Function: - Parks and Recreation",thousands of us dollars (USD),3,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD),3,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD),3,Total Expenditure - Exhibit: Salaries and Wages,thousands of us dollars (USD)
