bea_code,bea_desc,naics_code,notes,naics_desc
517A00,"Satellite, telecommunications resellers, and all other telecommunications",5178,,
517A00,"Satellite, telecommunications resellers, and all other telecommunications",5179,,Other telecommunications
518200,"Data processing, hosting, and related services",5182,,"Data processing, hosting, and related services"
519130,Internet publishing and broadcasting and Web search portals,51913,,Internet publishing and broadcasting and web search portals
5191A0,"News syndicates, libraries, archives and all other information services",51911,,News syndicates
5191A0,"News syndicates, libraries, archives and all other information services",51912,,Libraries and archives
5191A0,"News syndicates, libraries, archives and all other information services",51919,,All other information services
52A000,Monetary authorities and depository credit intermediation,521,,Monetary authorities-central bank
52A000,Monetary authorities and depository credit intermediation,5221,,Depository credit intermediation
522A00,Nondepository credit intermediation and related activities,5222,,Nondepository credit intermediation
522A00,Nondepository credit intermediation and related activities,5223,,Activities related to credit intermediation
523A00,Securities and commodity contracts intermediation and brokerage,5231,,Securities and commodity contracts intermediation and brokerage
523A00,Securities and commodity contracts intermediation and brokerage,5232,,Securities and commodity exchanges
523900,Other financial investment activities,5239,,Other financial investment activities
524113,Direct life insurance carriers,524113,,Direct life insurance carriers
5241XX,"Insurance carriers, except direct life",524114,,Direct health and medical insurance carriers
5241XX,"Insurance carriers, except direct life",52412,,"Direct insurance (except life, health, and medical) carriers"
5241XX,"Insurance carriers, except direct life",52413,,Reinsurance carriers
524200,"Insurance agencies, brokerages, and related activities",5242,,"Agencies, brokerages, and other insurance related activities"
525000,"Funds, trusts, and other financial vehicles",525,,"Funds, trusts, and other financial vehicles"
531HSO,Owner-occupied housing,,,
531HST,Tenant-occupied housing,531,,Real estate
531ORE,Other real estate,531,,Real estate
532100,Automotive equipment rental and leasing,5321,,Automotive equipment rental and leasing
532A00,General and consumer goods rental,5322,,Consumer goods rental
532A00,General and consumer goods rental,5323,,General rental centers
532400,Commercial and industrial machinery and equipment rental and leasing,5324,,Commercial and industrial machinery and equipment rental and leasing
533000,Lessors of nonfinancial intangible assets,533,,Lessors of nonfinancial intangible assets (except copyrighted works)
541100,Legal services,5411,,Legal services
541200,"Accounting, tax preparation, bookkeeping, and payroll services",5412,,"Accounting, tax preparation, bookkeeping, and payroll services"
541300,"Architectural, engineering, and related services",5413,,"Architectural, engineering, and related services"
541610,Management consulting services,54161,,Management consulting services
5416A0,Environmental and other technical consulting services,54162,,Environmental consulting services
5416A0,Environmental and other technical consulting services,54169,,Other scientific and technical consulting services
541700,Scientific research and development services,5417,,Scientific research and development services
541800,"Advertising, public relations, and related services",5418,,"Advertising, public relations, and related services"
541400,Specialized design services,5414,,Specialized design services
5419A0,"All other miscellaneous professional, scientific, and technical services",54191,,Marketing research and public opinion polling
5419A0,"All other miscellaneous professional, scientific, and technical services",54193,,Translation and interpretation services
5419A0,"All other miscellaneous professional, scientific, and technical services",54199,,"All other professional, scientific, and technical services"
541920,Photographic services,54192,,Photographic services
541940,Veterinary services,54194,,Veterinary services
541511,Custom computer programming services,541511,,Custom computer programming services
541512,Computer systems design services,541512,,Computer systems design services
54151A,"Other computer related services, including facilities management",541513,,Computer facilities management services
54151A,"Other computer related services, including facilities management",541519,,Other computer related services
550000,Management of companies and enterprises,55,,Management of companies and enterprises
561300,Employment services,5613,,Employment services
561700,Services to buildings and dwellings,5617,,Services to buildings and dwellings
561100,Office administrative services,5611,,Office administrative services
561200,Facilities support services,5612,,Facilities support services
561400,Business support services,5614,,Business support services
561500,Travel arrangement and reservation services,5615,,Travel arrangement and reservation services
561600,Investigation and security services,5616,,Investigation and security services
561900,Other support services,5619,,Other support services
562000,Waste management and remediation services,562,,Waste management and remediation services
611100,Elementary and secondary schools,6111,,Elementary and secondary schools
611A00,"Junior colleges, colleges, universities, and professional schools",6112,,Junior colleges
611A00,"Junior colleges, colleges, universities, and professional schools",6113,,"Colleges, universities, and professional schools"
611B00,Other educational services,6114,,Business schools and computer and management training
611B00,Other educational services,6115,,Technical and trade schools
611B00,Other educational services,6116,,Other schools and instruction
611B00,Other educational services,6117,,Educational support services
621100,Offices of physicians,6211,,Offices of physicians
621200,Offices of dentists,6212,,Offices of dentists
621300,Offices of other health practitioners,6213,,Offices of other health practitioners
621400,Outpatient care centers,6214,,Outpatient care centers
621500,Medical and diagnostic laboratories,6215,,Medical and diagnostic laboratories
621600,Home health care services,6216,,Home health care services
621900,Other ambulatory health care services,6219,,Other ambulatory health care services
622000,Hospitals,622,,Hospitals
623A00,Nursing and community care facilities,6231,,Nursing care facilities (skilled nursing facilities)
623A00,Nursing and community care facilities,6233,,Continuing care retirement communities and assisted living facilities for the elderly
623B00,"Residential mental health, substance abuse, and other residential care facilities",6232,,"Residential intellectual and developmental disability, mental health, and substance abuse facilities"
623B00,"Residential mental health, substance abuse, and other residential care facilities",6239,,Other residential care facilities
624100,Individual and family services,6241,,Individual and family services
624A00,"Community food, housing, and other relief services, including vocational rehabilitation services",6242,,"Community food and housing, and emergency and other relief services"
624A00,"Community food, housing, and other relief services, including vocational rehabilitation services",6243,,Vocational rehabilitation services
624400,Child day care services,6244,,Child day care services
711100,Performing arts companies,7111,,Performing arts companies
711200,Spectator sports,7112,,Spectator sports
711A00,Promoters of performing arts and sports and agents for public figures,7113,,"Promoters of performing arts, sports, and similar events"
711A00,Promoters of performing arts and sports and agents for public figures,7114,,"Agents and managers for artists, athletes, entertainers, and other public figures"
711500,"Independent artists, writers, and performers",7115,,"Independent artists, writers, and performers"
712000,"Museums, historical sites, zoos, and parks",712,,"Museums, historical sites, and similar institutions"
713100,Amusement parks and arcades,7131,,Amusement parks and arcades
713200,Gambling industries (except casino hotels),7132,,Gambling industries
713900,Other amusement and recreation industries,7139,,Other amusement and recreation industries
721000,Accommodation,721,,Accommodation
722110,Full-service restaurants,722511,,Full-service restaurants
722211,Limited-service restaurants,722513,,Limited-service restaurants
722A00,All other food and drinking places,7223,,Special food services
722A00,All other food and drinking places,7224,,Drinking places (alcoholic beverages)
722A00,All other food and drinking places,722514,,"Cafeterias, grill buffets, and buffets"
722A00,All other food and drinking places,722515,,Snack and nonalcoholic beverage bars
811100,Automotive repair and maintenance (including car washes),8111,,Automotive repair and maintenance
811200,Electronic and precision equipment repair and maintenance,8112,,Electronic and precision equipment repair and maintenance
811300,Commercial and industrial machinery and equipment repair and maintenance,8113,,Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance
811400,Personal and household goods repair and maintenance,8114,,Personal and household goods repair and maintenance
812100,Personal care services,8121,,Personal care services
812200,Death care services,8122,,Death care services
812300,Dry-cleaning and laundry services,8123,,Drycleaning and laundry services
812900,Other personal services,8129,,Other personal services
813100,Religious organizations,8131,,Religious organizations
813A00,"Grantmaking, giving, and social advocacy organizations",8132,,Grantmaking and giving services
813A00,"Grantmaking, giving, and social advocacy organizations",8133,,Social advocacy organizations
813B00,"Civic, social, professional, and similar organizations",8134,,Civic and social organizations
813B00,"Civic, social, professional, and similar organizations",8139,,"Business, professional, labor, political, and similar organizations"
814000,Private households,814,,Private households
S00500,Federal general government (defense),,,
S00600,Federal general government (nondefense),,,
491000,Postal service,491,,Postal service
S00101,Federal electric utilities,,**,
S00102,Other federal government enterprises,,,
GSLGE,State and local government (educational services),,,
GSLGH,State and local government (hospitals and health services),,,
GSLGO,State and local government (other services),,,
S00201,State and local government passenger transit,,**,
S00202,State and local government electric utilities,,**,
S00203,Other state and local government enterprises,,,
S00401,Scrap,,††,
S00402,Used and secondhand goods,,††,
S00300,Noncomparable imports,,††,
S00900,Rest of the world adjustment,,††,
